year;day;month;draw;first;seconde;third;fourth;fifth;lucky;complementary
1976;19;Mai;unique;31;15;33;27;36;48;34
1976;3;Juin;unique;10;26;42;1;4;14;31
1976;10;Juin;unique;44;16;47;10;15;1;27
1976;16;Juin;unique;2;3;35;13;1;28;49
1976;23;Juin;unique;30;22;11;9;23;47;49
1976;30;Juin;unique;10;17;25;35;5;46;1
1976;7;Juillet;unique;27;32;34;19;45;5;15
1976;15;Juillet;unique;42;5;29;28;27;41;8
1976;21;Juillet;unique;15;2;31;19;27;43;5
1976;28;Juillet;unique;40;49;16;37;35;10;7
1976;5;Aout;unique;47;37;25;6;4;45;42
1976;11;Aout;unique;8;42;33;31;17;9;26
1976;18;Aout;unique;21;9;3;24;34;1;48
1976;25;Aout;unique;32;11;7;8;38;34;48
1976;1;Septembre;unique;27;33;42;8;26;16;25
1976;8;Septembre;unique;25;30;22;3;38;17;13
1976;15;Septembre;unique;27;7;39;3;8;33;28
1976;22;Septembre;unique;35;24;10;36;9;32;11
1976;29;Septembre;unique;7;15;11;8;35;14;24
1976;6;Octobre;unique;47;30;38;6;26;5;8
1976;13;Octobre;unique;36;19;46;2;20;26;35
1976;20;Octobre;unique;20;26;14;48;33;13;18
1976;27;Octobre;unique;43;5;40;13;17;25;10
1976;4;Novembre;unique;46;40;30;9;33;8;3
1976;10;Novembre;unique;17;3;41;38;30;26;32
1976;17;Novembre;unique;2;32;44;45;20;8;38
1976;24;Novembre;unique;20;19;25;5;12;23;10
1976;1;Décembre;unique;18;26;16;22;28;37;7
1976;8;Décembre;unique;38;31;12;49;7;26;42
1976;15;Décembre;unique;26;45;19;9;39;32;43
1976;22;Décembre;unique;20;36;3;7;1;25;28
1976;29;Décembre;unique;9;12;32;24;47;18;41
1977;5;Janvier;unique;36;26;1;34;32;20;42
1977;12;Janvier;unique;16;15;17;31;8;43;24
1977;19;Janvier;unique;41;33;2;14;45;39;44
1977;26;Janvier;unique;21;7;45;12;9;42;23
1977;2;Février;unique;25;23;5;1;41;42;43
1977;9;Février;unique;11;40;28;22;1;25;46
1977;16;Février;unique;11;44;13;37;31;28;24
1977;23;Février;unique;42;43;25;22;34;44;32
1977;2;Mars;unique;26;27;6;22;33;10;46
1977;9;Mars;unique;3;28;4;9;46;34;17
1977;16;Mars;unique;40;21;20;45;44;22;32
1977;23;Mars;unique;14;20;22;40;17;18;4
1977;30;Mars;unique;19;10;40;41;43;35;33
1977;6;Avril;unique;33;18;7;8;25;48;42
1977;14;Avril;unique;41;28;26;3;16;37;38
1977;20;Avril;unique;30;17;35;7;9;29;41
